"";"municipality";"municipality_id";"state";"population";"account_type";"account";"amount";"i.municipality";"i.municipality_id";"i.state";"i.population";"i.account_type"
"2421";"Prefeitura Municipal de Santo Hipólito - MG";3160603;"MG";3231;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";2e+05;"Prefeitura Municipal de Monte Belo - MG";3143005;"MG";13449;"31/12/2018"
"2422";"Prefeitura Municipal de Timon - MA";2112209;"MA";166295;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";3e+05;"Prefeitura Municipal de Paulistas - MG";3148400;"MG";4990;"31/12/2018"
"2423";"Prefeitura Municipal de Jaru - RO";1100114;"RO";55806;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";18000;"Prefeitura Municipal de Pequi - MG";3149606;"MG";4369;"31/12/2018"
"2424";"Prefeitura Municipal de Ilha Grande - PI";2204659;"PI";9242;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";18000;"Prefeitura Municipal de Pequi - MG";3149606;"MG";4369;"31/12/2018"
"2425";"Prefeitura Municipal de Salto Grande - SP";3545407;"SP";9255;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";18000;"Prefeitura Municipal de Pequi - MG";3149606;"MG";4369;"31/12/2018"
"2426";"Prefeitura Municipal de Santa Margarida do Sul - RS";4316972;"RS";2507;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";18000;"Prefeitura Municipal de Pequi - MG";3149606;"MG";4369;"31/12/2018"
"2427";"Prefeitura Municipal de Serra dos Aimorés - MG";3166709;"MG";8809;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";270000;"Prefeitura Municipal de Santa Maria do Salto - MG";3158102;"MG";5387;"31/12/2018"
"2428";"Prefeitura Municipal de Monte Belo - MG";3143005;"MG";13449;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";2e+05;"Prefeitura Municipal de Santo Hipólito - MG";3160603;"MG";3231;"31/12/2018"
"2429";"Prefeitura Municipal de Lourdes - SP";3527256;"SP";2260;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";1e+05;"Prefeitura Municipal de São Thomé das Letras - MG";3165206;"MG";7072;"31/12/2018"
"2430";"Prefeitura Municipal de Santa Maria do Salto - MG";3158102;"MG";5387;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";270000;"Prefeitura Municipal de Serra dos Aimorés - MG";3166709;"MG";8809;"31/12/2018"
"2431";"Prefeitura Municipal de Santo Antônio do Aracanguá - SP";3548054;"SP";8228;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";30000;"Prefeitura Municipal de Américo Brasiliense - SP";3501707;"SP";39189;"31/12/2018"
"2432";"Prefeitura Municipal de Tarumã - SP";3553955;"SP";14378;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";30000;"Prefeitura Municipal de Américo Brasiliense - SP";3501707;"SP";39189;"31/12/2018"
"2433";"Prefeitura Municipal de Crixás - GO";5206404;"GO";16795;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";30000;"Prefeitura Municipal de Américo Brasiliense - SP";3501707;"SP";39189;"31/12/2018"
"2434";"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018"
"2435";"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018"
"2436";"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018"
"2437";"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018"
"2438";"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018"
"2439";"Prefeitura Municipal de Benjamin Constant do Sul - RS";4302055;"RS";2227;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018"
"2440";"Prefeitura Municipal de Centenário - RS";4305116;"RS";3021;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018"
"2441";"Prefeitura Municipal de Arataca - BA";2902252;"BA";11697;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Borborema - SP";3507407;"SP";15681;"31/12/2018"
"2442";"Prefeitura Municipal de Buri - SP";3508009;"SP";19655;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Borborema - SP";3507407;"SP";15681;"31/12/2018"
"2443";"Prefeitura Municipal de Pedregulho - SP";3537008;"SP";16582;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Borborema - SP";3507407;"SP";15681;"31/12/2018"
"2444";"Prefeitura Municipal de Boqueirão do Leão - RS";4302451;"RS";7913;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Borborema - SP";3507407;"SP";15681;"31/12/2018"
"2445";"Prefeitura Municipal de Arataca - BA";2902252;"BA";11697;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Buri - SP";3508009;"SP";19655;"31/12/2018"
"2446";"Prefeitura Municipal de Borborema - SP";3507407;"SP";15681;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Buri - SP";3508009;"SP";19655;"31/12/2018"
"2447";"Prefeitura Municipal de Pedregulho - SP";3537008;"SP";16582;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Buri - SP";3508009;"SP";19655;"31/12/2018"
"2448";"Prefeitura Municipal de Boqueirão do Leão - RS";4302451;"RS";7913;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Buri - SP";3508009;"SP";19655;"31/12/2018"
"2449";"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018"
"2450";"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018"
"2451";"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018"
"2452";"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018"
"2453";"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018"
"2454";"Prefeitura Municipal de Benjamin Constant do Sul - RS";4302055;"RS";2227;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018"
"2455";"Prefeitura Municipal de Centenário - RS";4305116;"RS";3021;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018"
"2456";"Prefeitura Municipal de Patrocínio Paulista - SP";3536307;"SP";14223;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";15000;"Prefeitura Municipal de Dourado - SP";3514304;"SP";8903;"31/12/2018"
"2457";"Prefeitura Municipal de Pongaí - SP";3540101;"SP";3494;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";15000;"Prefeitura Municipal de Dourado - SP";3514304;"SP";8903;"31/12/2018"
"2458";"Prefeitura Municipal de Cândido Sales - BA";2906709;"BA";26760;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";14000;"Prefeitura Municipal de Iacri - SP";3519204;"SP";6457;"31/12/2018"
"2459";"Prefeitura Municipal de Aliança do Tocantins - TO";1700350;"TO";5565;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";2000;"Prefeitura Municipal de Ipuã - SP";3521309;"SP";15752;"31/12/2018"
"2460";"Prefeitura Municipal de Canudos - BA";2906824;"BA";17222;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";2000;"Prefeitura Municipal de Ipuã - SP";3521309;"SP";15752;"31/12/2018"
"2461";"Prefeitura Municipal de Nova Europa - SP";3532900;"SP";10599;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";2000;"Prefeitura Municipal de Ipuã - SP";3521309;"SP";15752;"31/12/2018"
"2462";"Prefeitura Municipal de São Thomé das Letras - MG";3165206;"MG";7072;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";1e+05;"Prefeitura Municipal de Lourdes - SP";3527256;"SP";2260;"31/12/2018"
"2463";"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018"
"2464";"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018"
"2465";"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018"
"2466";"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018"
"2467";"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018"
"2468";"Prefeitura Municipal de Benjamin Constant do Sul - RS";4302055;"RS";2227;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018"
"2469";"Prefeitura Municipal de Centenário - RS";4305116;"RS";3021;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018"
"2470";"Prefeitura Municipal de Aliança do Tocantins - TO";1700350;"TO";5565;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";2000;"Prefeitura Municipal de Nova Europa - SP";3532900;"SP";10599;"31/12/2018"
"2471";"Prefeitura Municipal de Canudos - BA";2906824;"BA";17222;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";2000;"Prefeitura Municipal de Nova Europa - SP";3532900;"SP";10599;"31/12/2018"
"2472";"Prefeitura Municipal de Ipuã - SP";3521309;"SP";15752;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";2000;"Prefeitura Municipal de Nova Europa - SP";3532900;"SP";10599;"31/12/2018"
"2473";"Prefeitura Municipal de Poá - SP";3539806;"SP";114650;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";42000;"Prefeitura Municipal de Nova Guataporanga - SP";3533106;"SP";2296;"31/12/2018"
"2474";"Prefeitura Municipal de Campo Erê - SC";4203501;"SC";8890;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";5000;"Prefeitura Municipal de Nova Independência - SP";3533205;"SP";3667;"31/12/2018"
"2475";"Prefeitura Municipal de Dourado - SP";3514304;"SP";8903;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";15000;"Prefeitura Municipal de Patrocínio Paulista - SP";3536307;"SP";14223;"31/12/2018"
"2476";"Prefeitura Municipal de Pongaí - SP";3540101;"SP";3494;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";15000;"Prefeitura Municipal de Patrocínio Paulista - SP";3536307;"SP";14223;"31/12/2018"
"2477";"Prefeitura Municipal de Arataca - BA";2902252;"BA";11697;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Pedregulho - SP";3537008;"SP";16582;"31/12/2018"
"2478";"Prefeitura Municipal de Borborema - SP";3507407;"SP";15681;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Pedregulho - SP";3537008;"SP";16582;"31/12/2018"
"2479";"Prefeitura Municipal de Buri - SP";3508009;"SP";19655;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Pedregulho - SP";3537008;"SP";16582;"31/12/2018"
"2480";"Prefeitura Municipal de Boqueirão do Leão - RS";4302451;"RS";7913;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";20000;"Prefeitura Municipal de Pedregulho - SP";3537008;"SP";16582;"31/12/2018"
"2481";"Prefeitura Municipal de Nova Guataporanga - SP";3533106;"SP";2296;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";42000;"Prefeitura Municipal de Poá - SP";3539806;"SP";114650;"31/12/2018"
"2482";"Prefeitura Municipal de Dourado - SP";3514304;"SP";8903;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";15000;"Prefeitura Municipal de Pongaí - SP";3540101;"SP";3494;"31/12/2018"
"2483";"Prefeitura Municipal de Patrocínio Paulista - SP";3536307;"SP";14223;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";15000;"Prefeitura Municipal de Pongaí - SP";3540101;"SP";3494;"31/12/2018"
"2484";"Prefeitura Municipal de São Félix - BA";2929008;"BA";15272;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";28000;"Prefeitura Municipal de Porto Ferreira - SP";3540705;"SP";55100;"31/12/2018"
"2485";"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018"
"2486";"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018"
"2487";"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018"
"2488";"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018"
"2489";"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018"
"2490";"Prefeitura Municipal de Benjamin Constant do Sul - RS";4302055;"RS";2227;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018"
"2491";"Prefeitura Municipal de Centenário - RS";4305116;"RS";3021;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018"
"2492";"Prefeitura Municipal de Jaru - RO";1100114;"RO";55806;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";18000;"Prefeitura Municipal de Salto Grande - SP";3545407;"SP";9255;"31/12/2018"
"2493";"Prefeitura Municipal de Ilha Grande - PI";2204659;"PI";9242;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";18000;"Prefeitura Municipal de Salto Grande - SP";3545407;"SP";9255;"31/12/2018"
"2494";"Prefeitura Municipal de Pequi - MG";3149606;"MG";4369;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";18000;"Prefeitura Municipal de Salto Grande - SP";3545407;"SP";9255;"31/12/2018"
"2495";"Prefeitura Municipal de Santa Margarida do Sul - RS";4316972;"RS";2507;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";18000;"Prefeitura Municipal de Salto Grande - SP";3545407;"SP";9255;"31/12/2018"
"2496";"Prefeitura Municipal de Irati - SC";4207858;"SC";2004;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";5500;"Prefeitura Municipal de Santa Salete - SP";3547650;"SP";1536;"31/12/2018"
"2497";"Prefeitura Municipal de Américo Brasiliense - SP";3501707;"SP";39189;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";30000;"Prefeitura Municipal de Santo Antônio do Aracanguá - SP";3548054;"SP";8228;"31/12/2018"
"2498";"Prefeitura Municipal de Tarumã - SP";3553955;"SP";14378;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";30000;"Prefeitura Municipal de Santo Antônio do Aracanguá - SP";3548054;"SP";8228;"31/12/2018"
"2499";"Prefeitura Municipal de Crixás - GO";5206404;"GO";16795;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";30000;"Prefeitura Municipal de Santo Antônio do Aracanguá - SP";3548054;"SP";8228;"31/12/2018"
"2500";"Prefeitura Municipal de Caém - BA";2905107;"BA";10179;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";9000;"Prefeitura Municipal de Santópolis do Aguapeí - SP";3548401;"SP";4650;"31/12/2018"
"2501";"Prefeitura Municipal de Lunardelli - PR";4113759;"PR";5063;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";0,01;"Prefeitura Municipal de São Caetano do Sul - SP";3548807;"SP";158825;"31/12/2018"
"2502";"Prefeitura Municipal de Santana do Itararé - PR";4124004;"PR";5244;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";24000;"Prefeitura Municipal de Sud Mennucci - SP";3552304;"SP";7723;"31/12/2018"
"2503";"Prefeitura Municipal de Guajará - AM";1301654;"AM";16339;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";375000;"Prefeitura Municipal de Tarabai - SP";3553906;"SP";7236;"31/12/2018"
"2504";"Prefeitura Municipal de Américo Brasiliense - SP";3501707;"SP";39189;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";30000;"Prefeitura Municipal de Tarumã - SP";3553955;"SP";14378;"31/12/2018"
"2505";"Prefeitura Municipal de Santo Antônio do Aracanguá - SP";3548054;"SP";8228;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";30000;"Prefeitura Municipal de Tarumã - SP";3553955;"SP";14378;"31/12/2018"
"2506";"Prefeitura Municipal de Crixás - GO";5206404;"GO";16795;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";30000;"Prefeitura Municipal de Tarumã - SP";3553955;"SP";14378;"31/12/2018"
"2507";"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018"
"2508";"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018"
"2509";"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018"
"2510";"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018"
"2511";"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018"
"2512";"Prefeitura Municipal de Benjamin Constant do Sul - RS";4302055;"RS";2227;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018"
"2513";"Prefeitura Municipal de Centenário - RS";4305116;"RS";3021;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018"
"2514";"Prefeitura Municipal de São Caetano do Sul - SP";3548807;"SP";158825;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";0,01;"Prefeitura Municipal de Lunardelli - PR";4113759;"PR";5063;"31/12/2018"
"2515";"Prefeitura Municipal de Sud Mennucci - SP";3552304;"SP";7723;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";24000;"Prefeitura Municipal de Santana do Itararé - PR";4124004;"PR";5244;"31/12/2018"
"2516";"Prefeitura Municipal de Jardinópolis - SC";4208955;"SC";1649;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";2500,37;"Prefeitura Municipal de Águas Frias - SC";4200556;"SC";2397;"31/12/2018"
"2517";"Prefeitura Municipal de Painel - SC";4211892;"SC";2376;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de Bom Retiro - SC";4202602;"SC";9698;"31/12/2018"
"2518";"Prefeitura Municipal de São Joaquim - SC";4216503;"SC";26447;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de Bom Retiro - SC";4202602;"SC";9698;"31/12/2018"
"2519";"Prefeitura Municipal de Urupema - SC";4218954;"SC";2492;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de Bom Retiro - SC";4202602;"SC";9698;"31/12/2018"
"2520";"Prefeitura Municipal de Nova Independência - SP";3533205;"SP";3667;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";5000;"Prefeitura Municipal de Campo Erê - SC";4203501;"SC";8890;"31/12/2018"
"2521";"Prefeitura Municipal de Arco-Íris - SP";3503356;"SP";1873;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018"
"2522";"Prefeitura Municipal de Cafelândia - SP";3508801;"SP";17573;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018"
"2523";"Prefeitura Municipal de Luiziânia - SP";3527702;"SP";5573;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018"
"2524";"Prefeitura Municipal de Pratânia - SP";3541059;"SP";5126;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018"
"2525";"Prefeitura Municipal de Japira - PR";4112306;"PR";5078;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018"
"2526";"Prefeitura Municipal de Benjamin Constant do Sul - RS";4302055;"RS";2227;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018"
"2527";"Prefeitura Municipal de Centenário - RS";4305116;"RS";3021;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";10000;"Prefeitura Municipal de Concórdia - SC";4204301;"SC";73206;"31/12/2018"
"2528";"Prefeitura Municipal de Santa Salete - SP";3547650;"SP";1536;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";5500;"Prefeitura Municipal de Irati - SC";4207858;"SC";2004;"31/12/2018"
"2529";"Prefeitura Municipal de Águas Frias - SC";4200556;"SC";2397;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";2500,37;"Prefeitura Municipal de Jardinópolis - SC";4208955;"SC";1649;"31/12/2018"
"2530";"Prefeitura Municipal de Navegantes - SC";4211306;"SC";74964;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";1000;"Prefeitura Municipal de Luiz Alves - SC";4210001;"SC";12162;"31/12/2018"
"2531";"Prefeitura Municipal de Presidente Médici - RO";1100254;"RO";22337;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";12000;"Prefeitura Municipal de Maravilha - SC";4210506;"SC";24712;"31/12/2018"
"2532";"Prefeitura Municipal de Caraúbas do Piauí - PI";2202539;"PI";5750;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";12000;"Prefeitura Municipal de Maravilha - SC";4210506;"SC";24712;"31/12/2018"
"2533";"Prefeitura Municipal de Fortaleza de Minas - MG";3126307;"MG";4382;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";12000;"Prefeitura Municipal de Maravilha - SC";4210506;"SC";24712;"31/12/2018"
"2534";"Prefeitura Municipal de Luiz Alves - SC";4210001;"SC";12162;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";1000;"Prefeitura Municipal de Navegantes - SC";4211306;"SC";74964;"31/12/2018"
"2535";"Prefeitura Municipal de Bom Retiro - SC";4202602;"SC";9698;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de Painel - SC";4211892;"SC";2376;"31/12/2018"
"2536";"Prefeitura Municipal de São Joaquim - SC";4216503;"SC";26447;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de Painel - SC";4211892;"SC";2376;"31/12/2018"
"2537";"Prefeitura Municipal de Urupema - SC";4218954;"SC";2492;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de Painel - SC";4211892;"SC";2376;"31/12/2018"
"2538";"Prefeitura Municipal de Bom Retiro - SC";4202602;"SC";9698;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de São Joaquim - SC";4216503;"SC";26447;"31/12/2018"
"2539";"Prefeitura Municipal de Painel - SC";4211892;"SC";2376;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de São Joaquim - SC";4216503;"SC";26447;"31/12/2018"
"2540";"Prefeitura Municipal de Urupema - SC";4218954;"SC";2492;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de São Joaquim - SC";4216503;"SC";26447;"31/12/2018"
"2541";"Prefeitura Municipal de Bom Retiro - SC";4202602;"SC";9698;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de Urupema - SC";4218954;"SC";2492;"31/12/2018"
"2542";"Prefeitura Municipal de Painel - SC";4211892;"SC";2376;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de Urupema - SC";4218954;"SC";2492;"31/12/2018"
"2543";"Prefeitura Municipal de São Joaquim - SC";4216503;"SC";26447;"31/12/2018";"1.2.2.0.0.00.00 - Investimentos";50404,09;"Prefeitura Municipal de Urupema - SC";4218954;"SC";2492;"31/12/2018"
